nBlocks,nFilters,kernel_size,best_threshold,prediction_rate_kHz,best_signal_eff,best_background_rej
1,48,"(4, 6)",0.04040404040404041,0.8203769509084831,0.9869542978129947,0.9001586062515954
1,24,"(4, 6)",0.09090909090909091,3.557456799519227,0.9729639778359253,0.9038018253909
1,12,"(4, 6)",0.15151515151515152,5.223988295228404,0.9435425252201601,0.9027177365036738
1,96,"(4, 6)",0.030303030303030304,1.503777378833593,0.9904139373749286,0.9009291430279766
2,48,"(4, 6)",0.020202020202020204,2.4256822850237296,0.9917758339373011,0.9089751530310064
0,48,"(4, 6)",0.29292929292929293,4.165991256859781,0.8921462381302533,0.9005339174051011
1,48,"(4, 6)",0.05050505050505051,2.710765798395609,0.9865998351999586,0.9028572990400259
1,48,"(4, 6)",0.07070707070707072,2.1212131648686188,0.9851181128547727,0.9035213296867011
1,48,"(8, 6)",0.030303030303030304,2.1029465535662917,0.991070339845979,0.9040286245906448
1,48,"(8, 6)",0.030303030303030304,1.8227630243275421,0.9890732654664636,0.9075911968461051
1,48,"(2, 6)",0.20202020202020204,2.398647599360821,0.9176974658401316,0.9009043838721593
1,48,"(4, 12)",0.04040404040404041,2.871994230626977,0.9882143978026469,0.9016167811951047
1,48,"(4, 3)",0.11111111111111112,3.4535327297356853,0.9768089933080991,0.9027680372685386
